DATE;PLUIE;TMIN;TMAX;TMOY;UMIN;UMAX;UMOY
25/01/2025;4.2086189544642;9.1104442298498;16.7070064546;13.513388163708;71.611197244297;94.541132698294;85.27115306996
24/01/2025;0;0.61994740036082;12.736383262161;7.7148207481365;64.423180508198;95.576819491802;82.656445333392
23/01/2025;0;6.362265748679;16.894139569649;10.829960536871;63.035686793507;97;85.028611379354
22/01/2025;20.719816198761;9.5904965319906;11.76583442803;10.658466120246;87.353115962196;98;93.487429396757
21/01/2025;1.5647624645898;5.250470232171;12.96468840378;9.1865104270194;71.165099226097;95.741918717899;85.755054867924
20/01/2025;0.69413956964904;2.6070064546003;10.577629647039;6.6017111819314;66.165099226097;94.576819491802;81.777431135637
19/01/2025;0.057681949180189;1.8506757920783;13.102291751;6.4442322796104;44;86.388802755703;69.478970860553
18/01/2025;0;-1.4106491947603;9.5574766867713;3.6572969182282;50.611197244297;90.834900773903;71.507670400544
17/01/2025;0;-0.89299354539975;11.522370352961;4.8792645495537;41.423180508198;88.646884037804;67.116071127658
16/01/2025;0;1.755184935771;11.041172026571;5.0638793553081;51;86.353115962196;70.989253911169
15/01/2025;0;0.44817848117078;8.9292459034597;4.2257907595461;34.258081282101;77.741918717899;59.029958383662
14/01/2025;0;-0.32351607971157;7.1353115962196;2.3648306387645;44.611197244297;68.741918717899;59.364254035127
13/01/2025;0;0.20114602424929;6.1258081282101;2.6030241528927;44;65.353115962196;56.187218543925
12/01/2025;0;2.3904965319906;6.3258081282101;3.8676515285171;40;57.576819491802;48.26288865068
11/01/2025;0;3.9904965319906;11.255259294079;7.3907113040876;37.929935453997;85.458867301706;66.735678819009
10/01/2025;0;4.810575133951;9.6811983263901;7.2165385805268;53.611197244297;79.811983263901;68.395504755764
09/01/2025;0;4.9235160797116;15.066980154781;10.365700246663;50.611197244297;99.741918717899;79.37744184598
08/01/2025;0;3.8681258815316;15.24932450542;10.108483905656;64.611197244297;97.423180508198;85.520582735929
07/01/2025;0;4.8233108173026;13.697708249;9.5419889722256;53.611197244297;92;69.778214979879
06/01/2025;3.235106631309;10.42351637721;14.7070064546;13.10868585556;63.811983263901;96;84.339373956178
05/01/2025;0.5388802755703;5.4258081282101;14.1070064546;10.501677788093;80.353115962196;98.188016736099;90.224431535369
04/01/2025;0;1.7400262998196;7.5411720265705;4.9147399952417;58.423180508198;92.188016736099;70.358667361638
03/01/2025;0;3.5811983263901;10.16583442803;7.495010327506;56;84.870587567411;70.068620168242
02/01/2025;0;6.4316685585611;12.36583442803;9.1130582753944;69;87;79.820247063393
01/01/2025;0;0.98799922108307;9.3846361016396;6.2116230218451;74.929935453997;98.576819491802;86.952494621166
31/12/2024;0;-1.58254931555;9.9648936661894;2.9040008540972;71;97.576819491802;88.569629607867
30/12/2024;0;-1.1470324569215;10.02351637721;3.3338943388083;56.258081282101;92;77.196054840256
29/12/2024;0;0.047972921263481;14.31536389836;6.0851084377985;40.423180508198;84.611197244297;62.623273106956
28/12/2024;0;-1.710575133951;14.571694858381;3.4234530457145;47.070064546003;96.517471605215;79.101735226862
27/12/2024;0;-2;12.13531159622;3.1125650824871;44.811983263901;96.188016736099;77.867434270832
26/12/2024;0;-0.34838404107807;12.124662103961;5.1807497986262;46;89.070064546003;66.45277034455
25/12/2024;0;5.4223703529606;11.08349007739;7.6488990159192;40.811983263901;64.353115962196;53.604980176221
24/12/2024;0;3.8811986238885;11.2;7.6710682727259;38.811983263901;81.576819491802;51.876486949729
23/12/2024;0;2.4868531968338;11.14231805082;7.4334045155805;39;76.258081282101;52.067525202613
22/12/2024;0;4.1822131490398;15.75539019818;9.700875290913;42.165099226097;89.646884037804;67.14605294811
21/12/2024;0;2.4330198452193;13.92958206997;7.3795619271038;53;81;67.822971930679
20/12/2024;0;3.3364576204688;10.941172026571;6.9781915421615;36;74.223703529606;53.007216575145
19/12/2024;0;6.2081521813512;14.033019845219;9.4638024552599;52.811983263901;99;79.695475417367
18/12/2024;0;4.0351060363123;14.14002629982;8.599636433764;67;98;86.835126865117
17/12/2024;0;0.28078750407388;11.817655946859;6.4561284683934;73;96;87.2406790196
