"plot_id";"PM_LEAF_PC";"bbch_stage";"observation_date"
"10D";1;"BBCH 69";"2024-06-05"
"10D";5;"BBCH 69";"2024-06-05"
"10D";6;"BBCH 69";"2024-06-05"
"10D";1;"BBCH 69";"2024-06-05"
"10D";8;"BBCH 69";"2024-06-05"
"10D";3;"BBCH 69";"2024-06-05"
"10D";6;"BBCH 69";"2024-06-05"
"10D";3;"BBCH 69";"2024-06-05"
"10D";1;"BBCH 69";"2024-06-05"
"10D";5;"BBCH 69";"2024-06-05"
"10D";2;"BBCH 69";"2024-06-05"
"10D";5;"BBCH 69";"2024-06-05"
"10D";1;"BBCH 69";"2024-06-05"
"10D";7;"BBCH 69";"2024-06-05"
"10D";4;"BBCH 69";"2024-06-05"
"10D";3;"BBCH 69";"2024-06-05"
"10D";1;"BBCH 69";"2024-06-05"
"10D";3;"BBCH 69";"2024-06-05"
"10D";5;"BBCH 69";"2024-06-05"
"10D";8;"BBCH 69";"2024-06-05"
"10D";2;"BBCH 69";"2024-06-05"
"10D";4;"BBCH 69";"2024-06-05"
"10D";2;"BBCH 69";"2024-06-05"
"10D";1;"BBCH 69";"2024-06-05"
"10D";2;"BBCH 69";"2024-06-05"
"10D";2;"BBCH 69";"2024-06-05"
"10D";1;"BBCH 69";"2024-06-05"
"10D";6;"BBCH 69";"2024-06-05"
"10D";3;"BBCH 69";"2024-06-05"
"10D";6;"BBCH 69";"2024-06-05"
"10D";2;"BBCH 69";"2024-06-05"
"10D";1;"BBCH 69";"2024-06-05"
"10D";2;"BBCH 69";"2024-06-05"
"10D";4;"BBCH 69";"2024-06-05"
"10D";1;"BBCH 69";"2024-06-05"
"10D";2;"BBCH 69";"2024-06-05"
"10D";3;"BBCH 69";"2024-06-05"
"10D";1;"BBCH 69";"2024-06-05"
"10D";1;"BBCH 69";"2024-06-05"
"10D";4;"BBCH 69";"2024-06-05"
"10D";4;"BBCH 69";"2024-06-05"
"10D";3;"BBCH 69";"2024-06-05"
"10D";1;"BBCH 69";"2024-06-05"
"10D";5;"BBCH 69";"2024-06-05"
"10D";4;"BBCH 69";"2024-06-05"
"10D";4;"BBCH 69";"2024-06-05"
"10D";3;"BBCH 69";"2024-06-05"
"10D";3;"BBCH 69";"2024-06-05"
"10D";2;"BBCH 69";"2024-06-05"
"10D";1;"BBCH 69";"2024-06-05"
"10D";2;"BBCH 69";"2024-06-05"
"10D";5;"BBCH 69";"2024-06-05"
"10D";3;"BBCH 69";"2024-06-05"
"10D";5;"BBCH 69";"2024-06-05"
"10D";4;"BBCH 69";"2024-06-05"
"10D";5;"BBCH 69";"2024-06-05"
"10D";2;"BBCH 69";"2024-06-05"
"10D";5;"BBCH 69";"2024-06-05"
"10D";8;"BBCH 69";"2024-06-05"
"10D";2;"BBCH 69";"2024-06-05"
"10D";3;"BBCH 69";"2024-06-05"
"10D";2;"BBCH 69";"2024-06-05"
"10D";2;"BBCH 69";"2024-06-05"
"10D";2;"BBCH 69";"2024-06-05"
"10D";1;"BBCH 69";"2024-06-05"
"10D";1;"BBCH 69";"2024-06-05"
"10D";1;"BBCH 69";"2024-06-05"
"10D";2;"BBCH 69";"2024-06-05"
"10D";2;"BBCH 69";"2024-06-05"
"10D";2;"BBCH 69";"2024-06-05"
"10D";1;"BBCH 69";"2024-06-05"
"10D";3;"BBCH 69";"2024-06-05"
"10D";2;"BBCH 69";"2024-06-05"
"1A";2;"BBCH 69";"2024-06-05"
"1A";4;"BBCH 69";"2024-06-05"
"1A";3;"BBCH 69";"2024-06-05"
"1A";1;"BBCH 69";"2024-06-05"
"1A";1;"BBCH 69";"2024-06-05"
"1A";3;"BBCH 69";"2024-06-05"
"1A";1;"BBCH 69";"2024-06-05"
"1A";2;"BBCH 69";"2024-06-05"
"1A";2;"BBCH 69";"2024-06-05"
"1A";2;"BBCH 69";"2024-06-05"
"1A";2;"BBCH 69";"2024-06-05"
"1A";2;"BBCH 69";"2024-06-05"
"1A";3;"BBCH 69";"2024-06-05"
"1A";4;"BBCH 69";"2024-06-05"
"1A";2;"BBCH 69";"2024-06-05"
"1A";1;"BBCH 69";"2024-06-05"
"1A";1;"BBCH 69";"2024-06-05"
"1A";2;"BBCH 69";"2024-06-05"
"1A";1;"BBCH 69";"2024-06-05"
"1A";2;"BBCH 69";"2024-06-05"
"1A";2;"BBCH 69";"2024-06-05"
"1A";1;"BBCH 69";"2024-06-05"
"1A";4;"BBCH 69";"2024-06-05"
"1A";1;"BBCH 69";"2024-06-05"
"1A";3;"BBCH 69";"2024-06-05"
"1A";2;"BBCH 69";"2024-06-05"
"1A";4;"BBCH 69";"2024-06-05"
"1A";1;"BBCH 69";"2024-06-05"
"1A";1;"BBCH 69";"2024-06-05"
"1A";1;"BBCH 69";"2024-06-05"
"1A";1;"BBCH 69";"2024-06-05"
"1A";2;"BBCH 69";"2024-06-05"
"1A";3;"BBCH 69";"2024-06-05"
"1A";1;"BBCH 69";"2024-06-05"
"1A";2;"BBCH 69";"2024-06-05"
"1A";1;"BBCH 69";"2024-06-05"
"1A";4;"BBCH 69";"2024-06-05"
"1A";5;"BBCH 69";"2024-06-05"
"1A";5;"BBCH 69";"2024-06-05"
"1A";1;"BBCH 69";"2024-06-05"
"1A";4;"BBCH 69";"2024-06-05"
"1A";4;"BBCH 69";"2024-06-05"
"1A";10;"BBCH 69";"2024-06-05"
"1A";5;"BBCH 69";"2024-06-05"
"1A";2;"BBCH 69";"2024-06-05"
"1A";5;"BBCH 69";"2024-06-05"
"1A";2;"BBCH 69";"2024-06-05"
"1A";5;"BBCH 69";"2024-06-05"
"1A";10;"BBCH 69";"2024-06-05"
"1A";4;"BBCH 69";"2024-06-05"
"1A";3;"BBCH 69";"2024-06-05"
"1A";6;"BBCH 69";"2024-06-05"
"1A";1;"BBCH 69";"2024-06-05"
"1A";2;"BBCH 69";"2024-06-05"
"1A";8;"BBCH 69";"2024-06-05"
"1A";2;"BBCH 69";"2024-06-05"
"1A";3;"BBCH 69";"2024-06-05"
"1A";2;"BBCH 69";"2024-06-05"
"1A";2;"BBCH 69";"2024-06-05"
"1A";2;"BBCH 69";"2024-06-05"
"1A";1;"BBCH 69";"2024-06-05"
"1A";2;"BBCH 69";"2024-06-05"
"1A";1;"BBCH 69";"2024-06-05"
"1A";1;"BBCH 69";"2024-06-05"
"1B";1;"BBCH 69";"2024-06-05"
"1B";1;"BBCH 69";"2024-06-05"
"1B";1;"BBCH 69";"2024-06-05"
"1B";1;"BBCH 69";"2024-06-05"
"1B";2;"BBCH 69";"2024-06-05"
"1B";1;"BBCH 69";"2024-06-05"
"1B";3;"BBCH 69";"2024-06-05"
"1B";1;"BBCH 69";"2024-06-05"
"1B";1;"BBCH 69";"2024-06-05"
"1B";2;"BBCH 69";"2024-06-05"
"1B";1;"BBCH 69";"2024-06-05"
"1B";1;"BBCH 69";"2024-06-05"
"1B";1;"BBCH 69";"2024-06-05"
"1B";1;"BBCH 69";"2024-06-05"
"1B";3;"BBCH 69";"2024-06-05"
"1B";1;"BBCH 69";"2024-06-05"
"1B";8;"BBCH 69";"2024-06-05"
"1B";1;"BBCH 69";"2024-06-05"
"1B";2;"BBCH 69";"2024-06-05"
"1B";2;"BBCH 69";"2024-06-05"
"1B";1;"BBCH 69";"2024-06-05"
"1B";1;"BBCH 69";"2024-06-05"
"1B";1;"BBCH 69";"2024-06-05"
"1B";1;"BBCH 69";"2024-06-05"
"1B";1;"BBCH 69";"2024-06-05"
"1B";2;"BBCH 69";"2024-06-05"
"1B";1;"BBCH 69";"2024-06-05"
"1B";1;"BBCH 69";"2024-06-05"
"1B";2;"BBCH 69";"2024-06-05"
"1B";3;"BBCH 69";"2024-06-05"
"1B";1;"BBCH 69";"2024-06-05"
"1B";1;"BBCH 69";"2024-06-05"
"1B";2;"BBCH 69";"2024-06-05"
"1B";11;"BBCH 69";"2024-06-05"
"1C";1;"BBCH 69";"2024-06-05"
"1C";1;"BBCH 69";"2024-06-05"
"1C";1;"BBCH 69";"2024-06-05"
"1C";2;"BBCH 69";"2024-06-05"
"1C";1;"BBCH 69";"2024-06-05"
"1C";3;"BBCH 69";"2024-06-05"
"1C";1;"BBCH 69";"2024-06-05"
"1C";4;"BBCH 69";"2024-06-05"
"1C";2;"BBCH 69";"2024-06-05"
